,Neighborhood,Exterior1st,Exterior2nd,SalePrice
1206,SawyerW,HdBoard,HdBoard,107000
1207,CollgCr,VinylSd,VinylSd,200000
1208,NAmes,MetalSd,MetalSd,140000
1209,Somerst,VinylSd,VinylSd,290000
1210,SawyerW,Wd Sdng,Wd Sdng,189000
1211,Gilbert,Wd Sdng,Wd Sdng,164000
1212,Edwards,MetalSd,MetalSd,113000
1213,Sawyer,VinylSd,VinylSd,145000
1214,NAmes,MetalSd,MetalSd,134500
1215,Sawyer,VinylSd,VinylSd,125000
1216,Sawyer,VinylSd,VinylSd,112000
1217,Somerst,CemntBd,CmentBd,229456
1218,BrkSide,AsbShng,AsbShng,80500
1219,BrDale,CemntBd,CmentBd,91500
1220,NAmes,Wd Sdng,Wd Sdng,115000
1221,Sawyer,HdBoard,HdBoard,134000
1222,NAmes,Wd Sdng,Wd Sdng,143000
1223,NAmes,Wd Sdng,Wd Sdng,137900
1224,Gilbert,VinylSd,VinylSd,184000
1225,NAmes,VinylSd,VinylSd,145000
1226,Somerst,VinylSd,VinylSd,214000
1227,NAmes,VinylSd,VinylSd,147000
1228,NridgHt,MetalSd,MetalSd,367294
1229,NAmes,BrkFace,HdBoard,127000
1230,Sawyer,Plywood,Plywood,190000
1231,NAmes,Wd Sdng,Wd Sdng,132500
1232,NAmes,HdBoard,HdBoard,101800
1233,NAmes,Plywood,Plywood,142000
1234,SWISU,MetalSd,MetalSd,130000
1235,Crawfor,Wd Sdng,Wd Sdng,138887
1236,NridgHt,VinylSd,Wd Shng,175500
1237,CollgCr,VinylSd,VinylSd,195000
1238,SawyerW,VinylSd,VinylSd,142500
1239,Timber,VinylSd,VinylSd,265900
1240,CollgCr,VinylSd,VinylSd,224900
1241,Somerst,VinylSd,VinylSd,248328
1242,NWAmes,Plywood,Plywood,170000
1243,NridgHt,VinylSd,VinylSd,465000
1244,Crawfor,BrkFace,Stucco,230000
1245,NWAmes,VinylSd,VinylSd,178000
1246,Somerst,VinylSd,VinylSd,186500
1247,Mitchel,HdBoard,HdBoard,169900
1248,OldTown,AsbShng,AsbShng,129500
1249,NAmes,MetalSd,MetalSd,119000
1250,NAmes,BrkFace,BrkFace,244000
1251,NridgHt,VinylSd,Wd Shng,171750
1252,Mitchel,HdBoard,HdBoard,130000
1253,Veenker,Wd Sdng,Wd Sdng,294000
1254,Edwards,VinylSd,VinylSd,165400
1255,BrkSide,Wd Sdng,Wd Sdng,127500
1256,NoRidge,HdBoard,HdBoard,301500
1257,Edwards,Wd Sdng,Wd Sdng,99900
1258,Gilbert,VinylSd,VinylSd,190000
1259,NAmes,HdBoard,HdBoard,151000
1260,Gilbert,VinylSd,VinylSd,181000
1261,NAmes,MetalSd,MetalSd,128900
1262,ClearCr,Wd Sdng,Wd Sdng,161500
1263,BrkSide,Wd Sdng,Wd Sdng,180500
1264,NAmes,MetalSd,MetalSd,181000
1265,Somerst,MetalSd,MetalSd,183900
1266,OldTown,Wd Sdng,Wd Sdng,122000
1267,Timber,Stucco,CmentBd,378500
1268,Crawfor,Stucco,Stucco,381000
1269,NAmes,MetalSd,MetalSd,144000
1270,ClearCr,Plywood,Plywood,260000
1271,NWAmes,BrkFace,BrkFace,185750
1272,Sawyer,HdBoard,Plywood,137000
1273,Edwards,Plywood,Plywood,177000
1274,Crawfor,Wd Sdng,Wd Shng,139000
1275,NAmes,AsbShng,AsbShng,137000
1276,NWAmes,HdBoard,Plywood,162000
1277,NWAmes,HdBoard,HdBoard,197900
1278,CollgCr,VinylSd,VinylSd,237000
1279,IDOTRR,MetalSd,MetalSd,68400
1280,CollgCr,VinylSd,VinylSd,227000
1281,Timber,HdBoard,HdBoard,180000
1282,CollgCr,HdBoard,HdBoard,150500
1283,Mitchel,MetalSd,Wd Shng,139000
1284,SWISU,Wd Sdng,Wd Shng,169000
1285,BrkSide,MetalSd,MetalSd,132500
1286,NWAmes,HdBoard,HdBoard,143000
1287,ClearCr,Wd Sdng,Wd Sdng,190000
1288,StoneBr,CemntBd,CmentBd,278000
1289,NridgHt,VinylSd,VinylSd,281000
1290,NAmes,Wd Sdng,HdBoard,180500
1291,BrDale,CemntBd,CmentBd,119500
1292,OldTown,Wd Sdng,Wd Sdng,107500
1293,NWAmes,HdBoard,HdBoard,162900
1294,Edwards,WdShing,Plywood,115000
1295,NAmes,HdBoard,HdBoard,138500
1296,NAmes,MetalSd,MetalSd,155000
1297,Edwards,VinylSd,VinylSd,140000
1298,Edwards,Stucco,Stucco,160000
1299,NAmes,BrkFace,BrkFace,154000
1300,Gilbert,VinylSd,VinylSd,225000
1301,Crawfor,Wd Sdng,Wd Sdng,177500
1302,NoRidge,VinylSd,VinylSd,290000
1303,Somerst,VinylSd,VinylSd,232000
1304,Edwards,VinylSd,VinylSd,130000
1305,NridgHt,VinylSd,VinylSd,325000
1306,NridgHt,VinylSd,VinylSd,202500
1307,CollgCr,VinylSd,VinylSd,138000
1308,OldTown,MetalSd,MetalSd,147000
1309,SawyerW,HdBoard,HdBoard,179200
1310,Crawfor,BrkFace,HdBoard,335000
1311,CollgCr,VinylSd,VinylSd,203000
1312,NoRidge,Wd Sdng,Wd Sdng,302000
1313,NoRidge,VinylSd,VinylSd,333168
1314,Edwards,Wd Sdng,Wd Sdng,119000
1315,NAmes,HdBoard,HdBoard,206900
1316,CollgCr,VinylSd,VinylSd,295493
1317,Somerst,VinylSd,VinylSd,208900
1318,CollgCr,VinylSd,VinylSd,275000
1319,Edwards,Wd Sdng,Wd Sdng,111000
1320,NAmes,BrkFace,BrkFace,156500
1321,BrkSide,VinylSd,VinylSd,72500
1322,NoRidge,HdBoard,HdBoard,190000
1323,BrkSide,VinylSd,VinylSd,82500
1324,Somerst,VinylSd,VinylSd,147000
1325,IDOTRR,AsbShng,AsbShng,55000
1326,Edwards,MetalSd,MetalSd,79000
1327,Mitchel,VinylSd,VinylSd,130500
1328,OldTown,BrkFace,Wd Sdng,256000
1329,Gilbert,VinylSd,VinylSd,176500
1330,Somerst,VinylSd,VinylSd,227000
1331,CollgCr,MetalSd,MetalSd,132500
1332,Edwards,MetalSd,MetalSd,100000
1333,IDOTRR,Wd Sdng,Wd Sdng,125500
1334,BrDale,HdBoard,HdBoard,125000
1335,NWAmes,Plywood,Plywood,167900
1336,NWAmes,Plywood,Plywood,135000
1337,OldTown,Wd Sdng,Wd Sdng,52500
1338,CollgCr,VinylSd,VinylSd,200000
1339,CollgCr,MetalSd,MetalSd,128500
1340,NAmes,MetalSd,MetalSd,123000
1341,SawyerW,VinylSd,VinylSd,155000
1342,CollgCr,VinylSd,VinylSd,228500
1343,Crawfor,BrkFace,Stone,177000
1344,CollgCr,VinylSd,VinylSd,155835
1345,OldTown,MetalSd,MetalSd,108500
1346,NWAmes,BrkFace,HdBoard,262500
1347,Timber,VinylSd,VinylSd,283463
1348,SawyerW,VinylSd,VinylSd,215000
1349,OldTown,MetalSd,MetalSd,122000
1350,NAmes,MetalSd,MetalSd,200000
1351,NAmes,HdBoard,HdBoard,171000
1352,BrkSide,MetalSd,MetalSd,134900
1353,NoRidge,VinylSd,VinylSd,410000
1354,CollgCr,VinylSd,VinylSd,235000
1355,NWAmes,MetalSd,MetalSd,170000
1356,NAmes,HdBoard,HdBoard,110000
1357,NAmes,VinylSd,VinylSd,149900
1358,Somerst,MetalSd,MetalSd,177500
1359,NridgHt,VinylSd,VinylSd,315000
1360,SWISU,MetalSd,Wd Sdng,189000
1361,StoneBr,VinylSd,VinylSd,260000
1362,NAmes,VinylSd,VinylSd,104900
1363,Gilbert,VinylSd,VinylSd,156932
1364,Somerst,MetalSd,MetalSd,144152
1365,Somerst,VinylSd,VinylSd,216000
1366,CollgCr,VinylSd,VinylSd,193000
1367,MeadowV,CemntBd,CmentBd,127000
1368,CollgCr,VinylSd,VinylSd,144000
1369,CollgCr,VinylSd,VinylSd,232000
1370,OldTown,CBlock,CBlock,105000
1371,NAmes,AsbShng,AsbShng,165500
1372,CollgCr,VinylSd,VinylSd,274300
1373,NoRidge,VinylSd,VinylSd,466500
1374,Somerst,CemntBd,CmentBd,250000
1375,Timber,VinylSd,VinylSd,239000
1376,SWISU,Wd Sdng,Wd Sdng,91000
1377,Edwards,Wd Sdng,Wd Sdng,117000
1378,BrDale,HdBoard,HdBoard,83000
1379,Timber,VinylSd,VinylSd,167500
1380,Edwards,Stucco,Stucco,58500
1381,NAmes,BrkFace,Plywood,237500
1382,OldTown,Wd Sdng,Wd Sdng,157000
1383,Sawyer,Wd Sdng,Wd Sdng,112000
1384,Edwards,WdShing,Wd Shng,105000
1385,IDOTRR,VinylSd,VinylSd,125500
1386,NWAmes,Plywood,Plywood,250000
1387,OldTown,Stucco,Stucco,136000
1388,Gilbert,VinylSd,VinylSd,377500
1389,BrkSide,Wd Sdng,Wd Sdng,131000
1390,CollgCr,VinylSd,VinylSd,235000
1391,NAmes,Plywood,Plywood,124000
1392,NAmes,HdBoard,HdBoard,123000
1393,OldTown,Wd Sdng,Wd Sdng,163000
1394,Blmngtn,VinylSd,VinylSd,246578
1395,Timber,VinylSd,VinylSd,281213
1396,Timber,Wd Sdng,Wd Sdng,160000
1397,BrkSide,MetalSd,MetalSd,137500
1398,NAmes,VinylSd,Wd Sdng,138000
1399,SWISU,WdShing,Wd Shng,137450
1400,BrkSide,WdShing,Wd Shng,120000
1401,Gilbert,VinylSd,VinylSd,193000
1402,CollgCr,VinylSd,VinylSd,193879
1403,Somerst,VinylSd,VinylSd,282922
1404,OldTown,Wd Sdng,Wd Sdng,105000
1405,Crawfor,CemntBd,CmentBd,275000
1406,CollgCr,HdBoard,Wd Shng,133000
1407,Mitchel,HdBoard,Plywood,112000
1408,OldTown,VinylSd,VinylSd,125500
1409,NWAmes,Plywood,Plywood,215000
1410,CollgCr,VinylSd,VinylSd,230000
1411,NAmes,VinylSd,VinylSd,140000
1412,NAmes,BrkFace,Stone,90000
1413,SawyerW,VinylSd,VinylSd,257000
1414,BrkSide,Wd Sdng,Wd Sdng,207000
1415,Blmngtn,VinylSd,VinylSd,175900
1416,OldTown,VinylSd,AsbShng,122500
1417,NoRidge,VinylSd,VinylSd,340000
1418,NAmes,HdBoard,HdBoard,124000
1419,Crawfor,Plywood,Plywood,223000
1420,NWAmes,HdBoard,HdBoard,179900
1421,NPkVill,Plywood,Plywood,127500
1422,CollgCr,VinylSd,VinylSd,136500
1423,Edwards,Plywood,Plywood,274970
1424,NAmes,HdBoard,HdBoard,144000
1425,NAmes,HdBoard,HdBoard,142000
1426,NoRidge,VinylSd,VinylSd,271000
1427,NAmes,MetalSd,MetalSd,140000
1428,OldTown,MetalSd,MetalSd,119000
1429,NWAmes,MetalSd,MetalSd,182900
1430,Gilbert,VinylSd,VinylSd,192140
1431,NPkVill,Plywood,Plywood,143750
1432,OldTown,Wd Sdng,Wd Sdng,64500
1433,Gilbert,VinylSd,VinylSd,186500
1434,Mitchel,BrkFace,BrkFace,160000
1435,NAmes,Wd Sdng,Wd Sdng,174000
1436,NAmes,HdBoard,HdBoard,120500
1437,NridgHt,VinylSd,VinylSd,394617
1438,OldTown,MetalSd,MetalSd,149700
1439,NWAmes,HdBoard,HdBoard,197000
1440,Crawfor,MetalSd,MetalSd,191000
1441,CollgCr,VinylSd,VinylSd,149300
1442,Somerst,VinylSd,VinylSd,310000
1443,BrkSide,Wd Sdng,Wd Sdng,121000
1444,CollgCr,VinylSd,VinylSd,179600
1445,Sawyer,VinylSd,VinylSd,129000
1446,Mitchel,HdBoard,HdBoard,157900
1447,CollgCr,VinylSd,VinylSd,240000
1448,Edwards,MetalSd,HdBoard,112000
1449,MeadowV,CemntBd,CmentBd,92000
1450,NAmes,VinylSd,VinylSd,136000
1451,Somerst,CemntBd,CmentBd,287090
1452,Edwards,VinylSd,VinylSd,145000
1453,Mitchel,VinylSd,VinylSd,84500
1454,Somerst,VinylSd,VinylSd,185000
1455,Gilbert,VinylSd,VinylSd,175000
1456,NWAmes,Plywood,Plywood,210000
1457,Crawfor,CemntBd,CmentBd,266500
1458,NAmes,MetalSd,MetalSd,142125
1459,Edwards,HdBoard,HdBoard,147500
